CustomerID,Name,Gender,Age,City,Region,Tenure,Balance,CreditScore,ActiveStatus,Salary,Phone,LastTransactionDate,LastTransactionDays,Complaints,Products,Churned,TotalTransactions,TotalTransactionAmount,AvgTransactionAmount
7452884,Crystal Bernard,Female,68,Kolkata,East,2,285698,610,No,278348,+91 9482823064,1970-01-01 00:00:00.000000001,1,0,4,0,23,107702,4682.695652173913
2937289,Jennifer Daniels,Female,53,Delhi,North,5,250894,497,Yes,733564,+91 9559366219,1970-01-01 00:00:00.000000011,11,0,2,0,15,73240,4882.666666666667
1891376,Michael Morgan,Male,24,Visakhapatnam,East,9,137945,498,Yes,619623,+91 9427324351,1970-01-01 00:00:00.000000009,9,2,2,0,18,85506,4750.333333333333
6985516,Leslie Rowe,Female,45,Bhopal,East,8,215293,642,Yes,550371,+91 9987189900,1970-01-01 00:00:00.000000015,15,4,4,0,29,136664,4712.551724137931
4393253,Toni Taylor,Female,57,Delhi,North,7,88012,413,Yes,366789,+91 9286333961,1970-01-01 00:00:00.000000002,2,1,3,0,20,95698,4784.9
8385851,Joe Cooke,Male,24,Visakhapatnam,East,6,63939,779,Yes,157301,+91 9351596126,1970-01-01 00:00:00.000000045,45,0,2,0,12,52981,4415.083333333333
4109681,Pamela Mueller,Female,44,Kolkata,East,9,170140,415,Yes,464122,+91 9224400030,1970-01-01 00:00:00.000000005,5,2,1,0,17,75539,4443.470588235294
1350907,James Taylor,Male,69,Ahmedabad,West,4,171773,804,Yes,399048,+91 9690251978,1970-01-01 00:00:00.000000039,39,0,2,1,22,104822,4764.636363636364
5690745,John Love,Male,76,Kochi,South,2,226993,630,No,586169,+91 9029296827,1970-01-01 00:00:00.000000037,37,2,1,1,20,111401,5570.05
2871253,David Washington,Male,72,Chennai,South,3,59932,671,No,84587,+91 9312369307,1970-01-01 00:00:00.000000008,8,0,2,1,18,91283,5071.277777777777
8161736,Michael Poole,Male,18,Surat,West,6,214554,603,Yes,135008,+91 9513560213,1970-01-01 00:00:00.000000001,1,1,3,0,28,157893,5639.035714285715
3682440,Linda Lee,Female,20,Ahmedabad,West,2,92917,413,No,633840,+91 9668063011,1970-01-01 00:00:00.000000015,15,1,4,0,16,77012,4813.25
3658162,Nicole Sutton,Female,79,Madurai,South,9,258793,607,Yes,165978,+91 9081812007,1970-01-01 00:00:00.000000020,20,1,4,0,19,103378,5440.9473684210525
3990345,James Warren,Male,77,Mysuru,South,5,279744,851,Yes,635649,+91 9666836535,1970-01-01 00:00:00.000000003,3,2,2,0,15,86064,5737.6
9017062,Tyrone Perez,Male,50,Bangalore,South,4,71054,574,Yes,600004,+91 9497227306,1970-01-01 00:00:00.000000008,8,1,3,0,24,100247,4176.958333333333
6755268,Anthony Miller,Male,20,Delhi,North,8,85290,628,Yes,683759,+91 9978169225,1970-01-01 00:00:00.000000029,29,0,3,0,19,117894,6204.9473684210525
9828815,Nicholas Mitchell,Male,72,Madurai,South,5,112851,447,No,511221,+91 9139526759,1970-01-01 00:00:00.000000031,31,0,3,1,21,100630,4791.9047619047615
2962755,Colin Smith,Male,54,Patna,East,7,261314,602,Yes,437000,+91 9536050196,1970-01-01 00:00:00.000000023,23,0,2,0,22,116487,5294.863636363636
2485829,David Rodgers,Male,61,Lucknow,North,6,135943,472,Yes,601439,+91 9424853837,1970-01-01 00:00:00.000000031,31,1,1,0,24,131796,5491.5
5669216,Mary Hamilton,Female,54,Kolkata,East,8,204877,419,Yes,667765,+91 9166360973,1970-01-01 00:00:00.000000044,44,1,1,0,13,90885,6991.153846153846
6778775,Daniel Fleming,Male,38,Jaipur,North,5,111973,611,Yes,577038,+91 9474205045,1970-01-01 00:00:00.000000045,45,0,3,0,11,57389,5217.181818181818
8957817,Adam Mayo,Male,72,Kolkata,East,9,123658,487,Yes,344378,+91 9555471991,1970-01-01 00:00:00.000000001,1,1,4,1,22,96701,4395.5
3279374,Albert Meyer,Male,76,Bangalore,South,4,185860,622,No,305681,+91 9772630587,1970-01-01 00:00:00.000000013,13,1,1,1,17,82427,4848.64705882353
2177894,Stephen Peters,Male,54,Pune,West,3,172913,510,Yes,214133,+91 9890463698,1970-01-01 00:00:00.000000005,5,2,3,0,24,139546,5814.416666666667
4524138,Robin Ramirez,Female,70,Hyderabad,South,8,97768,849,Yes,79887,+91 9044404731,1970-01-01 00:00:00.000000002,2,2,1,0,19,96038,5054.631578947368
1349900,Gloria James,Female,77,Kochi,South,7,151487,876,Yes,608524,+91 9490803883,1970-01-01 00:00:00.000000013,13,2,4,0,22,114832,5219.636363636364
2508169,Gregg Guzman,Male,40,Mysuru,South,1,122347,502,No,655458,+91 9319184037,1970-01-01 00:00:00.000000039,39,2,4,1,18,97588,5421.555555555556
6238239,Tiffany Hernandez,Female,65,Delhi,North,5,259195,590,No,217723,+91 9500693140,1970-01-01 00:00:00.000000025,25,0,3,0,15,76384,5092.266666666666
8864325,Justin Sims,Male,23,Coimbatore,South,5,5829,763,Yes,38447,+91 9339517768,1970-01-01 00:00:00.000000009,9,3,2,0,24,125272,5219.666666666667
7396676,Stephanie Ortiz,Female,72,Patna,East,8,292222,660,Yes,798066,+91 9490554487,1970-01-01 00:00:00.000000009,9,0,3,1,26,131272,5048.923076923077
4148737,Nancy Buchanan,Female,45,Kochi,South,5,216927,528,No,296719,+91 9176880287,1970-01-01 00:00:00.000000009,9,1,4,1,20,103181,5159.05
3708559,Kevin Gibson,Male,37,Kolkata,East,8,23929,762,Yes,95005,+91 9567548539,1970-01-01 00:00:00.000000001,1,0,1,0,29,168570,5812.758620689655
1400702,Dylan Clarke,Male,49,Bhopal,East,9,2639,799,Yes,33792,+91 9308056683,1970-01-01 00:00:00.000000011,11,3,3,0,21,104597,4980.809523809524
3602974,Jonathan Reyes,Male,48,Chennai,South,8,77748,610,Yes,689955,+91 9278914768,1970-01-01 00:00:00.000000019,19,5,4,1,16,87067,5441.6875
7277509,Michael Parker,Male,31,Surat,West,1,51728,741,Yes,71724,+91 9098482163,1970-01-01 00:00:00.000000035,35,3,3,0,17,73489,4322.882352941177
6801577,Robert Martinez,Male,48,Madurai,South,9,55886,570,Yes,567594,+91 9935804980,1970-01-01 00:00:00.000000014,14,1,4,1,19,107648,5665.684210526316
8620366,Tony Leon,Male,76,Jaipur,North,8,66046,402,Yes,74722,+91 9387232407,1970-01-01 00:00:00.000000008,8,0,3,1,13,49355,3796.5384615384614
3612093,Jeffery Bailey,Male,72,Patna,East,1,216351,538,No,363902,+91 9479754236,1970-01-01 00:00:00.000000047,47,1,3,0,13,76625,5894.2307692307695
9150064,Thomas Johnston,Male,56,Patna,East,7,255199,662,Yes,484943,+91 9254213388,1970-01-01 00:00:00.000000040,40,2,4,0,18,85323,4740.166666666667
8902985,Michelle Yates,Female,40,Kochi,South,3,66552,849,No,256173,+91 9826012294,1970-01-01 00:00:00.000000004,4,1,2,0,22,77887,3540.318181818182
8808401,Luis Adams,Male,63,Chandigarh,North,7,239697,573,Yes,522812,+91 9465123391,1970-01-01 00:00:00.000000001,1,0,1,0,17,92690,5452.35294117647
1406309,Lindsey Schwartz,Female,21,Visakhapatnam,East,2,162416,726,Yes,426282,+91 9780223746,1970-01-01 00:00:00.000000003,3,0,3,0,23,118769,5163.869565217391
6861873,Jacob Villegas,Male,66,Coimbatore,South,3,83242,616,No,107553,+91 9034534485,1970-01-01 00:00:00.000000003,3,0,1,0,27,121729,4508.481481481482
6518426,Timothy Williams,Male,47,Kochi,South,1,95867,664,Yes,360108,+91 9498986663,1970-01-01 00:00:00.000000012,12,0,4,0,15,55840,3722.6666666666665
1438050,Mason Walsh,Male,32,Jaipur,North,2,108331,829,Yes,364262,+91 9016939010,1970-01-01 00:00:00.000000029,29,0,3,0,19,89001,4684.263157894737
5747355,William Lambert,Male,55,Jaipur,North,3,272192,540,No,182992,+91 9904227573,1970-01-01 00:00:00.000000010,10,1,2,0,11,51201,4654.636363636364
7699675,Michael Oneal,Male,77,Chennai,South,4,243172,476,Yes,294171,+91 9651363663,1970-01-01 00:00:00.000000012,12,3,3,0,20,113698,5684.9
7120887,Roger Hebert,Male,78,Kolkata,East,5,291918,595,No,77303,+91 9814321668,1970-01-01 00:00:00.000000041,41,2,4,0,19,85829,4517.315789473684
8611059,Brandon Davis,Male,71,Kochi,South,9,18008,690,Yes,207932,+91 9118050319,1970-01-01 00:00:00.000000016,16,0,2,0,16,77743,4858.9375
7352593,Christopher Santiago,Male,53,Kolkata,East,4,81831,577,No,619644,+91 9732686020,1970-01-01 00:00:00.000000005,5,0,3,0,15,73384,4892.266666666666
7501827,Jessica Williams,Female,26,Pune,West,1,142410,488,Yes,37170,+91 9351265234,1970-01-01 00:00:00.000000058,58,2,3,0,19,85422,4495.894736842105
4157114,Michael Delgado,Male,70,Patna,East,8,66132,582,Yes,320680,+91 9444276253,1970-01-01 00:00:00.000000009,9,1,4,0,26,132334,5089.7692307692305
7323135,Austin Brown,Male,35,Delhi,North,6,27899,878,Yes,388627,+91 9243035532,1970-01-01 00:00:00.000000001,1,0,1,0,28,119204,4257.285714285715
1480973,Elizabeth Norman,Female,63,Surat,West,8,138947,472,Yes,394254,+91 9865451729,1970-01-01 00:00:00.000000022,22,1,3,0,22,106095,4822.5
1402980,Denise Morris,Female,75,Mumbai,West,1,162228,716,Yes,664881,+91 9242457851,1970-01-01 00:00:00.000000006,6,0,1,0,19,102642,5402.210526315789
6124395,Maria Morrow,Female,21,Visakhapatnam,East,1,22313,761,Yes,679177,+91 9334946240,1970-01-01 00:00:00.000000010,10,1,1,0,18,108502,6027.888888888889
3580864,Jacqueline Perez,Female,63,Visakhapatnam,East,7,190105,579,Yes,95540,+91 9173250495,1970-01-01 00:00:00.000000003,3,1,2,1,16,78116,4882.25
7028738,Thomas Clark,Male,35,Lucknow,North,8,169803,826,Yes,330131,+91 9581257471,1970-01-01 00:00:00.000000002,2,0,4,0,27,128245,4749.814814814815
3284179,Brandon Mendez DVM,Male,35,Bangalore,South,3,279493,872,Yes,790114,+91 9840446142,1970-01-01 00:00:00.000000001,1,2,4,0,23,117079,5090.391304347826
7195340,Michael Mays,Male,51,Coimbatore,South,6,18233,697,Yes,276978,+91 9876782124,1970-01-01 00:00:00.000000009,9,0,2,0,21,97332,4634.857142857143
8857535,Courtney Robinson,Female,22,Mysuru,South,1,204870,897,Yes,324858,+91 9968666617,1970-01-01 00:00:00.000000004,4,0,2,0,25,123112,4924.48
6890369,Ralph Underwood,Male,39,Trichy,South,3,197115,624,Yes,47496,+91 9728316200,1970-01-01 00:00:00.000000010,10,1,4,0,21,128231,6106.238095238095
7781150,Alexander Ruiz,Male,43,Jaipur,North,4,12952,612,Yes,487123,+91 9115357279,1970-01-01 00:00:00.000000011,11,0,3,0,20,88198,4409.9
8003227,Terry Perez,Male,45,Surat,West,7,206815,651,Yes,345979,+91 9772705352,1970-01-01 00:00:00.000000027,27,1,4,0,15,73429,4895.266666666666
7847516,Joshua Rivas,Male,40,Visakhapatnam,East,1,91859,772,Yes,240838,+91 9338827347,1970-01-01 00:00:00.000000010,10,1,3,0,31,147729,4765.451612903225
9323751,Mary Vang,Female,75,Lucknow,North,3,14966,528,No,230897,+91 9967937617,1970-01-01 00:00:00.000000005,5,2,4,0,19,99703,5247.526315789473
2535695,Shirley Foster,Female,36,Chandigarh,North,5,203911,489,No,531607,+91 9367474702,1970-01-01 00:00:00.000000003,3,3,2,0,21,88550,4216.666666666667
1622523,Brenda Carroll,Female,57,Bangalore,South,2,244718,661,Yes,225647,+91 9453292351,1970-01-01 00:00:00.000000002,2,0,2,0,23,110878,4820.782608695652
1983813,Steven Nelson,Male,59,Bangalore,South,6,121338,538,Yes,543992,+91 9428649199,1970-01-01 00:00:00.000000025,25,1,4,0,18,99732,5540.666666666667
9724183,Wendy Young,Female,19,Mysuru,South,9,105953,415,Yes,206362,+91 9141312526,1970-01-01 00:00:00.000000041,41,0,4,0,19,118580,6241.0526315789475
4574278,Benjamin Taylor,Male,62,Kochi,South,2,167861,838,Yes,28869,+91 9673083596,1970-01-01 00:00:00.000000008,8,2,1,0,22,102306,4650.272727272727
6010885,Nicole Hill,Female,22,Kolkata,East,5,197347,646,No,599055,+91 9244818312,1970-01-01 00:00:00.000000004,4,1,4,0,19,92107,4847.736842105263
7315696,Jessica Miller,Female,28,Kolkata,East,4,34589,731,No,215196,+91 9373249415,1970-01-01 00:00:00.000000014,14,0,1,0,23,111598,4852.086956521739
3057132,Caroline Francis,Female,69,Kochi,South,4,156302,616,No,505820,+91 9903236463,1970-01-01 00:00:00.000000011,11,1,2,0,24,84148,3506.1666666666665
9076656,Sarah Trevino,Female,69,Visakhapatnam,East,8,214837,783,Yes,317189,+91 9423499541,1970-01-01 00:00:00.000000001,1,0,2,0,15,76998,5133.2
5286242,Cynthia Lee,Female,39,Visakhapatnam,East,4,89939,420,Yes,131750,+91 9797328756,1970-01-01 00:00:00.000000019,19,2,2,0,31,160807,5187.322580645161
1467632,Kathleen Potter,Female,69,Ahmedabad,West,1,216488,602,Yes,20800,+91 9545106838,1970-01-01 00:00:00.000000001,1,1,3,0,24,136321,5680.041666666667
6180545,Duane Harris,Male,69,Chandigarh,North,8,227594,762,Yes,303612,+91 9714733362,1970-01-01 00:00:00.000000002,2,1,3,0,25,126184,5047.36
8863552,Kimberly Miller,Female,50,Jaipur,North,3,74204,818,Yes,693831,+91 9241834666,1970-01-01 00:00:00.000000042,42,0,2,0,24,131090,5462.083333333333
6442164,Kathryn Valencia,Female,73,Visakhapatnam,East,1,123498,640,No,682047,+91 9187846100,1970-01-01 00:00:00.000000006,6,1,1,0,27,120997,4481.37037037037
7192453,Alex King,Male,44,Kolkata,East,9,157882,714,Yes,135249,+91 9299520236,1970-01-01 00:00:00.000000005,5,3,2,0,21,99255,4726.428571428572
5009578,Kathy Buchanan,Female,73,Delhi,North,6,158007,730,No,146932,+91 9887932609,1970-01-01 00:00:00.000000017,17,1,3,0,24,123282,5136.75
8568300,Nancy Moore,Female,71,Visakhapatnam,East,9,84389,616,Yes,622127,+91 9801163223,1970-01-01 00:00:00.000000039,39,0,4,0,24,128594,5358.083333333333
5614552,Jennifer Alvarez,Female,54,Madurai,South,1,145541,531,No,599775,+91 9493787327,1970-01-01 00:00:00.000000042,42,3,2,0,19,110255,5802.894736842105
5763605,Steven Prince,Male,39,Ahmedabad,West,2,105462,544,No,462132,+91 9120753047,1970-01-01 00:00:00.000000022,22,0,3,0,15,82214,5480.933333333333
4648767,Dorothy James,Female,42,Madurai,South,4,125727,525,No,577882,+91 9500289324,1970-01-01 00:00:00.000000053,53,1,2,1,16,65928,4120.5
4621906,Jordan Peterson,Male,65,Coimbatore,South,9,169428,509,Yes,739857,+91 9299033797,1970-01-01 00:00:00.000000015,15,1,3,0,26,137293,5280.5
6634529,Peggy Pierce,Female,24,Chandigarh,North,3,269760,688,Yes,583186,+91 9566056077,1970-01-01 00:00:00.000000017,17,0,3,0,15,89388,5959.2
9547228,Jonathan Perkins,Male,33,Chennai,South,4,195510,469,No,273897,+91 9595857668,1970-01-01 00:00:00.000000037,37,1,4,0,24,122942,5122.583333333333
5094411,Donna Short,Female,63,Kochi,South,5,281641,740,Yes,616967,+91 9570272997,1970-01-01 00:00:00.000000003,3,2,3,0,27,128559,4761.444444444444
9721455,Linda Ruiz,Female,47,Hyderabad,South,1,230334,776,Yes,160475,+91 9448383936,1970-01-01 00:00:00.000000003,3,0,2,0,22,148102,6731.909090909091
1879792,Holly Cole,Female,53,Madurai,South,6,169760,887,Yes,701095,+91 9503596510,1970-01-01 00:00:00.000000017,17,3,3,0,21,98405,4685.952380952381
6800135,Jacqueline Graham,Female,76,Coimbatore,South,1,233745,412,No,746108,+91 9617413025,1970-01-01 00:00:00.000000004,4,1,2,1,14,54663,3904.5
3509360,Raymond Richmond,Male,41,Chennai,South,7,209204,713,Yes,44071,+91 9687440493,1970-01-01 00:00:00.000000004,4,2,4,0,23,92470,4020.4347826086955
2556916,Charles Smith,Male,49,Ahmedabad,West,4,44454,626,No,577626,+91 9106484982,1970-01-01 00:00:00.000000079,79,1,1,0,19,98234,5170.210526315789
9967372,Peter Ortega,Male,57,Bangalore,South,6,212667,524,Yes,342703,+91 9713283858,1970-01-01 00:00:00.000000018,18,0,3,0,16,110253,6890.8125
5277568,Daniel Lewis,Male,61,Visakhapatnam,East,2,78025,743,Yes,711555,+91 9812198521,1970-01-01 00:00:00.000000017,17,2,2,0,17,88032,5178.35294117647
8483926,Cheryl Smith,Female,27,Patna,East,8,166379,488,Yes,683194,+91 9649314734,1970-01-01 00:00:00.000000012,12,1,3,0,25,132182,5287.28
9797465,Kimberly Morris MD,Female,56,Mysuru,South,6,81436,491,No,566670,+91 9725699388,1970-01-01 00:00:00.000000020,20,0,4,1,16,83385,5211.5625
3486960,Bryan Hurley,Male,79,Hyderabad,South,8,31914,505,Yes,486859,+91 9826078972,1970-01-01 00:00:00.000000011,11,2,1,0,23,119902,5213.130434782609
9872521,Stacy Neal,Female,44,Ahmedabad,West,4,224974,617,Yes,535441,+91 9189760199,1970-01-01 00:00:00.000000016,16,1,4,0,25,125911,5036.44
8444567,Tammy James,Female,25,Madurai,South,3,265608,677,Yes,762489,+91 9923755297,1970-01-01 00:00:00.000000052,52,1,4,0,19,91077,4793.526315789473
6621815,Erika Reed,Female,25,Ahmedabad,West,8,293055,869,Yes,208975,+91 9717808817,1970-01-01 00:00:00.000000061,61,1,2,0,18,100789,5599.388888888889
4668494,Justin Williams,Male,64,Surat,West,8,9183,547,Yes,141051,+91 9435773389,1970-01-01 00:00:00.000000011,11,1,2,0,21,111479,5308.523809523809
6295693,Douglas Decker,Male,50,Chennai,South,4,189850,683,Yes,70753,+91 9781000812,1970-01-01 00:00:00.000000027,27,0,3,0,16,67232,4202.0
8135551,Kristina Ochoa,Female,58,Visakhapatnam,East,4,246825,884,Yes,143999,+91 9606037741,1970-01-01 00:00:00.000000047,47,1,2,0,23,104519,4544.304347826087
2941342,Robert Flores,Male,20,Coimbatore,South,7,90098,662,Yes,294550,+91 9465851033,1970-01-01 00:00:00.000000035,35,2,3,0,14,58782,4198.714285714285
3937877,Mary Murphy,Female,77,Mysuru,South,6,153949,412,Yes,429767,+91 9535562389,1970-01-01 00:00:00.000000020,20,0,3,0,25,146282,5851.28
4538291,Cynthia Watson,Female,76,Mysuru,South,3,124688,734,Yes,197988,+91 9465992455,1970-01-01 00:00:00.000000012,12,1,3,0,17,89249,5249.941176470588
2724081,Chad Bell,Male,25,Jaipur,North,6,203810,459,Yes,719469,+91 9572876670,1970-01-01 00:00:00.000000007,7,0,3,0,15,85887,5725.8
7801648,Julie Curtis,Female,58,Bangalore,South,6,244340,699,Yes,356740,+91 9913209812,1970-01-01 00:00:00.000000017,17,1,4,0,27,114014,4222.740740740741
5692987,Jack Brown,Male,46,Coimbatore,South,4,239175,709,Yes,226238,+91 9438725114,1970-01-01 00:00:00.000000030,30,2,1,0,19,102627,5401.421052631579
2825250,Cynthia Reynolds,Female,55,Trichy,South,1,37046,780,Yes,320895,+91 9961797868,1970-01-01 00:00:00.000000052,52,0,4,0,14,72841,5202.928571428572
8473424,Robert Howard,Male,20,Bangalore,South,2,298026,883,No,774180,+91 9304940673,1970-01-01 00:00:00.000000048,48,1,1,1,23,108426,4714.173913043478
5136359,Zachary Evans,Male,35,Bhopal,East,2,157512,844,Yes,748248,+91 9406069045,1970-01-01 00:00:00.000000003,3,0,2,0,30,131537,4384.566666666667
7175392,David Clark,Male,48,Jaipur,North,9,117175,600,Yes,237732,+91 9511078406,1970-01-01 00:00:00.000000018,18,1,1,0,25,127203,5088.12
3792781,Duane Gutierrez,Male,21,Pune,West,6,46785,740,Yes,640764,+91 9002378107,1970-01-01 00:00:00.000000054,54,1,1,0,9,56102,6233.555555555556
2874541,Denise Nelson,Female,50,Kolkata,East,2,228594,684,Yes,702660,+91 9123817690,1970-01-01 00:00:00.000000035,35,3,2,0,28,149753,5348.321428571428
1125895,Amy Owens DVM,Female,74,Mumbai,West,9,18451,518,Yes,269521,+91 9684799381,1970-01-01 00:00:00.000000010,10,0,1,0,20,109424,5471.2
2094763,Douglas Kent,Male,32,Mumbai,West,3,120429,475,No,441347,+91 9220530423,1970-01-01 00:00:00.000000025,25,0,1,0,17,98055,5767.941176470588
9033680,Kelsey Garcia,Female,30,Visakhapatnam,East,3,214193,612,Yes,757618,+91 9929902043,1970-01-01 00:00:00.000000010,10,0,2,0,18,83281,4626.722222222223
7388416,Tiffany Smith,Female,42,Patna,East,2,9469,543,Yes,307795,+91 9833454410,1970-01-01 00:00:00.000000002,2,0,2,0,28,144618,5164.928571428572
2408168,Monica Morris,Female,57,Madurai,South,2,27734,597,Yes,671226,+91 9620966407,1970-01-01 00:00:00.000000007,7,2,3,0,26,120011,4615.807692307692
1338122,Yolanda Gillespie,Female,32,Mysuru,South,4,64518,485,No,514745,+91 9848362317,1970-01-01 00:00:00.000000001,1,0,3,1,14,82248,5874.857142857143
1570555,Michele Wang,Female,37,Coimbatore,South,7,80381,790,No,330307,+91 9066160170,1970-01-01 00:00:00.000000007,7,3,4,0,22,98812,4491.454545454545
6115731,Jill Hughes,Female,53,Kochi,South,1,129335,464,No,81248,+91 9016449911,1970-01-01 00:00:00.000000027,27,2,3,0,19,97056,5108.210526315789
9119052,Ronald Gibson,Male,73,Bangalore,South,3,69647,406,No,624086,+91 9316728953,1970-01-01 00:00:00.000000006,6,0,4,0,19,98238,5170.421052631579
5258425,Dr. Deborah Conley,Female,21,Bhopal,East,6,245829,746,Yes,291083,+91 9367916407,1970-01-01 00:00:00.000000030,30,2,1,0,21,123574,5884.476190476191
6528008,James Carson,Male,43,Kolkata,East,1,231752,646,No,120345,+91 9918632003,1970-01-01 00:00:00.000000033,33,0,1,0,21,118567,5646.047619047619
9723565,Glenn Parker,Male,66,Coimbatore,South,6,227069,480,Yes,174296,+91 9804158954,1970-01-01 00:00:00.000000005,5,1,2,0,17,81971,4821.823529411765
8478881,Brooke Romero,Female,19,Surat,West,4,8245,768,Yes,99966,+91 9212729758,1970-01-01 00:00:00.000000002,2,4,4,0,23,113064,4915.826086956522
1790667,Tyler Miller,Male,20,Coimbatore,South,5,283495,662,Yes,415951,+91 9836351059,1970-01-01 00:00:00.000000057,57,0,4,0,17,77296,4546.823529411765
4784549,Cassandra Dixon,Female,76,Coimbatore,South,1,239896,609,Yes,508989,+91 9938413008,1970-01-01 00:00:00.000000001,1,1,4,0,24,105014,4375.583333333333
