CustomerID,Name,Gender,Age,City,Region,Tenure,Balance,CreditScore,IsActive,Salary,Phone
7452884,Crystal Bernard,Female,68,Kolkata,East,2,285698,610,No,278348,+91 9482823064
2937289,Jennifer Daniels,Female,53,Delhi,North,5,250894,497,Yes,733564,+91 9559366219
1891376,Michael Morgan,Male,24,Visakhapatnam,East,9,137945,498,Yes,619623,+91 9427324351
6985516,Leslie Rowe,Female,45,Bhopal,East,8,215293,642,Yes,550371,+91 9987189900
4393253,Toni Taylor,Female,57,Delhi,North,7,88012,413,Yes,366789,+91 9286333961
8385851,Joe Cooke,Male,24,Visakhapatnam,East,6,63939,779,Yes,157301,+91 9351596126
4109681,Pamela Mueller,Female,44,Kolkata,East,9,170140,415,Yes,464122,+91 9224400030
1350907,James Taylor,Male,69,Ahmedabad,West,4,171773,804,Yes,399048,+91 9690251978
5690745,John Love,Male,76,Kochi,South,2,226993,630,No,586169,+91 9029296827
2871253,David Washington,Male,72,Chennai,South,3,59932,671,No,84587,+91 9312369307
8161736,Michael Poole,Male,18,Surat,West,6,214554,603,Yes,135008,+91 9513560213
3682440,Linda Lee,Female,20,Ahmedabad,West,2,92917,413,No,633840,+91 9668063011
3658162,Nicole Sutton,Female,79,Madurai,South,9,258793,607,Yes,165978,+91 9081812007
3990345,James Warren,Male,77,Mysuru,South,5,279744,851,Yes,635649,+91 9666836535
9017062,Tyrone Perez,Male,50,Bangalore,South,4,71054,574,Yes,600004,+91 9497227306
6755268,Anthony Miller,Male,20,Delhi,North,8,85290,628,Yes,683759,+91 9978169225
9828815,Nicholas Mitchell,Male,72,Madurai,South,5,112851,447,No,511221,+91 9139526759
2962755,Colin Smith,Male,54,Patna,East,7,261314,602,Yes,437000,+91 9536050196
2485829,David Rodgers,Male,61,Lucknow,North,6,135943,472,Yes,601439,+91 9424853837
5669216,Mary Hamilton,Female,54,Kolkata,East,8,204877,419,Yes,667765,+91 9166360973
6778775,Daniel Fleming,Male,38,Jaipur,North,5,111973,611,Yes,577038,+91 9474205045
8957817,Adam Mayo,Male,72,Kolkata,East,9,123658,487,Yes,344378,+91 9555471991
3279374,Albert Meyer,Male,76,Bangalore,South,4,185860,622,No,305681,+91 9772630587
2177894,Stephen Peters,Male,54,Pune,West,3,172913,510,Yes,214133,+91 9890463698
4524138,Robin Ramirez,Female,70,Hyderabad,South,8,97768,849,Yes,79887,+91 9044404731
1349900,Gloria James,Female,77,Kochi,South,7,151487,876,Yes,608524,+91 9490803883
2508169,Gregg Guzman,Male,40,Mysuru,South,1,122347,502,No,655458,+91 9319184037
6238239,Tiffany Hernandez,Female,65,Delhi,North,5,259195,590,No,217723,+91 9500693140
8864325,Justin Sims,Male,23,Coimbatore,South,5,5829,763,Yes,38447,+91 9339517768
7396676,Stephanie Ortiz,Female,72,Patna,East,8,292222,660,Yes,798066,+91 9490554487
4148737,Nancy Buchanan,Female,45,Kochi,South,5,216927,528,No,296719,+91 9176880287
3708559,Kevin Gibson,Male,37,Kolkata,East,8,23929,762,Yes,95005,+91 9567548539
1400702,Dylan Clarke,Male,49,Bhopal,East,9,2639,799,Yes,33792,+91 9308056683
3602974,Jonathan Reyes,Male,48,Chennai,South,8,77748,610,Yes,689955,+91 9278914768
7277509,Michael Parker,Male,31,Surat,West,1,51728,741,Yes,71724,+91 9098482163
6801577,Robert Martinez,Male,48,Madurai,South,9,55886,570,Yes,567594,+91 9935804980
8620366,Tony Leon,Male,76,Jaipur,North,8,66046,402,Yes,74722,+91 9387232407
3612093,Jeffery Bailey,Male,72,Patna,East,1,216351,538,No,363902,+91 9479754236
9150064,Thomas Johnston,Male,56,Patna,East,7,255199,662,Yes,484943,+91 9254213388
8902985,Michelle Yates,Female,40,Kochi,South,3,66552,849,No,256173,+91 9826012294
8808401,Luis Adams,Male,63,Chandigarh,North,7,239697,573,Yes,522812,+91 9465123391
1406309,Lindsey Schwartz,Female,21,Visakhapatnam,East,2,162416,726,Yes,426282,+91 9780223746
6861873,Jacob Villegas,Male,66,Coimbatore,South,3,83242,616,No,107553,+91 9034534485
6518426,Timothy Williams,Male,47,Kochi,South,1,95867,664,Yes,360108,+91 9498986663
1438050,Mason Walsh,Male,32,Jaipur,North,2,108331,829,Yes,364262,+91 9016939010
5747355,William Lambert,Male,55,Jaipur,North,3,272192,540,No,182992,+91 9904227573
7699675,Michael Oneal,Male,77,Chennai,South,4,243172,476,Yes,294171,+91 9651363663
7120887,Roger Hebert,Male,78,Kolkata,East,5,291918,595,No,77303,+91 9814321668
8611059,Brandon Davis,Male,71,Kochi,South,9,18008,690,Yes,207932,+91 9118050319
